wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h
2026-04-21T15:34:15.889,1776774855.889661,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:15.989,1776774855.989462,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.089,1776774856.089207,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.189,1776774856.189098,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.289,1776774856.289561,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.389,1776774856.389402,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.489,1776774856.489732,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.589,1776774856.589175,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.691,1776774856.691793,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.789,1776774856.789090,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.893,1776774856.893191,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:16.989,1776774856.989205,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:17.090,1776774857.090534,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:17.191,1776774857.191126,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:17.289,1776774857.289141,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:17.389,1776774857.389162,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:17.489,1776774857.489092,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:17.589,1776774857.589785,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-21T15:34:17.692,1776774857.692641,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0.6616,1196.77,432.36,166.25,840.23
2026-04-21T15:34:17.789,1776774857.789745,angles_and_walking,normal,moving,,recording_02,1.4465,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.45 m | valid=628/3920 | roi_mode=full,SAFE (z=invalid),0,0,1,0.6616,1196.77,432.36,166.25,840.23
2026-04-21T15:34:17.889,1776774857.889248,angles_and_walking,normal,moving,,recording_02,1.5795,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.58 m | valid=360/3920 | roi_mode=full,SAFE (z=1.58m),0,1,1,0.6616,1196.77,432.36,166.25,840.23
2026-04-21T15:34:17.989,1776774857.989704,angles_and_walking,normal,moving,,recording_02,1.9395,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.94 m | valid=155/3920 | roi_mode=full,SAFE (z=1.94m),0,1,1,0.6616,1196.77,432.36,166.25,840.23
2026-04-21T15:34:18.090,1776774858.090416,angles_and_walking,normal,moving,,recording_02,2.1046,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.10 m | valid=697/5181 | roi_mode=full,SAFE (z=2.11m),0,1,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.195,1776774858.195481,angles_and_walking,normal,moving,,recording_02,2.1273,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.13 m | valid=716/5181 | roi_mode=full,SAFE (z=2.13m),0,1,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.290,1776774858.290007,angles_and_walking,normal,moving,,recording_02,2.1171,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.12 m | valid=658/5181 | roi_mode=full,SAFE (z=2.12m),0,1,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.389,1776774858.389101,angles_and_walking,normal,moving,,recording_02,2.1171,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.12 m | valid=658/5181 | roi_mode=full,SAFE (z=2.12m),0,0,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.489,1776774858.489589,angles_and_walking,normal,moving,,recording_02,2.1171,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.12 m | valid=0/0 | roi_mode=full,SAFE (z=2.12m),0,0,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.590,1776774858.590256,angles_and_walking,normal,moving,,recording_02,2.1171,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.12 m | valid=0/0 | roi_mode=full,SAFE (z=2.12m),0,0,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.689,1776774858.689204,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=2.12m),0,0,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.793,1776774858.793487,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=2.12m),0,0,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.891,1776774858.891659,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,1,1,0.9132,1181.57,471.56,196.47,941.59
2026-04-21T15:34:18.989,1776774858.989903,angles_and_walking,normal,moving,,recording_02,1.6955,1,1,1,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0.8433,583.01,482.65,295.35,954.70
2026-04-21T15:34:19.089,1776774859.089160,angles_and_walking,normal,moving,,recording_02,2.0306,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.03 m | valid=1990/7791 | roi_mode=full,SAFE (z=invalid),0,0,1,0.8433,583.01,482.65,295.35,954.70
2026-04-21T15:34:19.191,1776774859.191589,angles_and_walking,normal,moving,,recording_02,2.0753,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.08 m | valid=2377/7791 | roi_mode=full,SAFE (z=2.07m),0,1,1,0.8433,583.01,482.65,295.35,954.70
2026-04-21T15:34:19.289,1776774859.289325,angles_and_walking,normal,moving,,recording_02,2.0831,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.08 m | valid=2347/7791 | roi_mode=full,SAFE (z=2.07m),0,0,1,0.8433,583.01,482.65,295.35,954.70
2026-04-21T15:34:19.392,1776774859.392756,angles_and_walking,normal,moving,,recording_02,2.0831,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.08 m | valid=0/0 | roi_mode=full,SAFE (z=2.08m),0,1,1,0.8433,583.01,482.65,295.35,954.70
2026-04-21T15:34:19.489,1776774859.489736,angles_and_walking,normal,moving,,recording_02,2.0831,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.08 m | valid=0/0 | roi_mode=full,SAFE (z=2.08m),0,0,1,0.8433,583.01,482.65,295.35,954.70
2026-04-21T15:34:19.589,1776774859.589300,angles_and_walking,normal,moving,,recording_02,2.0831,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.08 m | valid=0/0 | roi_mode=full,SAFE (z=2.08m),0,0,1,0.8433,583.01,482.65,295.35,954.70
2026-04-21T15:34:19.693,1776774859.693051,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=2.08m),0,0,1,0.8433,583.01,482.65,295.35,954.70
2026-04-21T15:34:19.791,1776774859.791146,angles_and_walking,normal,moving,,recording_02,2.0756,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.08 m | valid=4729/13833 | roi_mode=full,SAFE (z=invalid),0,1,1,0.9086,336.26,478.02,522.87,956.04
2026-04-21T15:34:19.891,1776774859.891194,angles_and_walking,normal,moving,,recording_02,2.0673,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=4454/13833 | roi_mode=full,SAFE (z=2.07m),0,1,1,0.9086,336.26,478.02,522.87,956.04
2026-04-21T15:34:19.989,1776774859.989377,angles_and_walking,normal,moving,,recording_02,2.0966,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.10 m | valid=4066/13833 | roi_mode=full,SAFE (z=2.10m),0,1,1,0.9086,336.26,478.02,522.87,956.04
2026-04-21T15:34:20.089,1776774860.089183,angles_and_walking,normal,moving,,recording_02,2.0966,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.10 m | valid=4066/13833 | roi_mode=full,SAFE (z=2.10m),0,0,1,0.9086,336.26,478.02,522.87,956.04
2026-04-21T15:34:20.191,1776774860.191170,angles_and_walking,normal,moving,,recording_02,2.0966,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.10 m | valid=0/0 | roi_mode=full,SAFE (z=2.10m),0,0,1,0.9086,336.26,478.02,522.87,956.04
2026-04-21T15:34:20.289,1776774860.289368,angles_and_walking,normal,moving,,recording_02,2.0966,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.10 m | valid=0/0 | roi_mode=full,SAFE (z=2.10m),0,0,1,0.9086,336.26,478.02,522.87,956.04
2026-04-21T15:34:20.396,1776774860.396600,angles_and_walking,normal,moving,,recording_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,1,1,0.9086,336.26,478.02,522.87,956.04
