wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m
2026-04-22T14:40:14.234,1776858014.234795,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0034,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=6090/7800 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":727.68,""cy"":438.11,""w"":270.38,""h"":873.0,""x1"":99,""y1"":0,""x2"":144,""y2"":146,""conf"":0.9368,""depth_m"":null,""depth_valid"":false},{""cx"":463.48,""cy"":448.84,""w"":320.57,""h"":897.69,""x1"":51,""y1"":0,""x2"":104,""y2"":150,""conf"":0.9319,""depth_m"":null,""depth_valid"":false}]",0.9319,463.48,448.84,320.57,897.69,
2026-04-22T14:40:14.334,1776858014.334833,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0038,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=6148/7950 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":727.68,""cy"":438.11,""w"":270.38,""h"":873.0,""x1"":99,""y1"":0,""x2"":144,""y2"":146,""conf"":0.9368,""depth_m"":null,""depth_valid"":false},{""cx"":463.48,""cy"":448.84,""w"":320.57,""h"":897.69,""x1"":51,""y1"":0,""x2"":104,""y2"":150,""conf"":0.9319,""depth_m"":null,""depth_valid"":false}]",0.9319,463.48,448.84,320.57,897.69,
2026-04-22T14:40:14.435,1776858014.435296,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,1.9967,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=5981/7800 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":727.63,""cy"":438.07,""w"":271.92,""h"":873.35,""x1"":99,""y1"":0,""x2"":144,""y2"":146,""conf"":0.9383,""depth_m"":null,""depth_valid"":false},{""cx"":460.55,""cy"":448.84,""w"":314.29,""h"":897.69,""x1"":51,""y1"":0,""x2"":103,""y2"":150,""conf"":0.931,""depth_m"":null,""depth_valid"":false}]",0.9310,460.55,448.84,314.29,897.69,
2026-04-22T14:40:14.534,1776858014.534730,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0037,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=5882/7800 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":727.91,""cy"":437.45,""w"":274.93,""h"":871.43,""x1"":99,""y1"":0,""x2"":145,""y2"":146,""conf"":0.9389,""depth_m"":null,""depth_valid"":false},{""cx"":456.91,""cy"":449.07,""w"":315.41,""h"":898.13,""x1"":50,""y1"":0,""x2"":103,""y2"":150,""conf"":0.9316,""depth_m"":null,""depth_valid"":false}]",0.9316,456.91,449.07,315.41,898.13,
2026-04-22T14:40:14.634,1776858014.634847,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0107,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.01 m | valid=6250/7950 | roi_mode=full,SAFE (z=2.01m),0,1,2,0,"[{""cx"":727.91,""cy"":437.45,""w"":274.93,""h"":871.43,""x1"":99,""y1"":0,""x2"":145,""y2"":146,""conf"":0.9389,""depth_m"":null,""depth_valid"":false},{""cx"":456.91,""cy"":449.07,""w"":315.41,""h"":898.13,""x1"":50,""y1"":0,""x2"":103,""y2"":150,""conf"":0.9316,""depth_m"":null,""depth_valid"":false}]",0.9316,456.91,449.07,315.41,898.13,
2026-04-22T14:40:14.734,1776858014.734800,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0038,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=6167/7950 | roi_mode=full,SAFE (z=2.01m),0,0,2,0,"[{""cx"":726.87,""cy"":437.44,""w"":276.17,""h"":871.85,""x1"":98,""y1"":0,""x2"":145,""y2"":146,""conf"":0.9406,""depth_m"":null,""depth_valid"":false},{""cx"":452.56,""cy"":449.23,""w"":310.43,""h"":898.47,""x1"":50,""y1"":0,""x2"":102,""y2"":150,""conf"":0.933,""depth_m"":null,""depth_valid"":false}]",0.9330,452.56,449.23,310.43,898.47,
2026-04-22T14:40:14.834,1776858014.834798,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,1.9952,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=6028/7800 | roi_mode=full,SAFE (z=2.00m),0,1,2,0,"[{""cx"":726.87,""cy"":437.44,""w"":276.17,""h"":871.85,""x1"":98,""y1"":0,""x2"":145,""y2"":146,""conf"":0.9406,""depth_m"":null,""depth_valid"":false},{""cx"":452.56,""cy"":449.23,""w"":310.43,""h"":898.47,""x1"":50,""y1"":0,""x2"":102,""y2"":150,""conf"":0.933,""depth_m"":null,""depth_valid"":false}]",0.9330,452.56,449.23,310.43,898.47,
2026-04-22T14:40:14.934,1776858014.934878,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0034,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=6051/7950 | roi_mode=full,SAFE (z=2.00m),0,0,2,0,"[{""cx"":725.01,""cy"":437.8,""w"":275.74,""h"":872.65,""x1"":98,""y1"":0,""x2"":144,""y2"":146,""conf"":0.9414,""depth_m"":null,""depth_valid"":false},{""cx"":450.0,""cy"":449.17,""w"":316.86,""h"":898.34,""x1"":49,""y1"":0,""x2"":102,""y2"":150,""conf"":0.9346,""depth_m"":null,""depth_valid"":false}]",0.9346,450.00,449.17,316.86,898.34,
2026-04-22T14:40:15.034,1776858015.034769,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0114,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.01 m | valid=6160/7950 | roi_mode=full,SAFE (z=2.01m),0,1,2,0,"[{""cx"":725.01,""cy"":437.8,""w"":275.74,""h"":872.65,""x1"":98,""y1"":0,""x2"":144,""y2"":146,""conf"":0.9414,""depth_m"":null,""depth_valid"":false},{""cx"":450.0,""cy"":449.17,""w"":316.86,""h"":898.34,""x1"":49,""y1"":0,""x2"":102,""y2"":150,""conf"":0.9346,""depth_m"":null,""depth_valid"":false}]",0.9346,450.00,449.17,316.86,898.34,
2026-04-22T14:40:15.134,1776858015.134782,exp1_two_people_similar_distance,400_lux,two_people_same_distance,2.000,,2.0123,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.01 m | valid=6124/7950 | roi_mode=full,SAFE (z=2.01m),0,0,2,0,"[{""cx"":724.94,""cy"":437.51,""w"":275.62,""h"":872.05,""x1"":98,""y1"":0,""x2"":144,""y2"":146,""conf"":0.9418,""depth_m"":null,""depth_valid"":false},{""cx"":449.41,""cy"":449.22,""w"":316.92,""h"":898.44,""x1"":49,""y1"":0,""x2"":102,""y2"":150,""conf"":0.9356,""depth_m"":null,""depth_valid"":false}]",0.9356,449.41,449.22,316.92,898.44,
