wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps
2026-04-22T15:26:39.470,1776860799.470729,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,1.9696,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.97 m | valid=4959/21440 | roi_mode=full,SAFE (z=1.97m),0,1,1,0,"[{""cx"":434.79,""cy"":480.61,""w"":802.02,""h"":958.78,""x1"":6,""y1"":0,""x2"":140,""y2"":160,""conf"":0.9065,""depth_m"":null,""depth_valid"":false}]",0.9065,434.79,480.61,802.02,958.78,,18.53,9.98
2026-04-22T15:26:39.569,1776860799.569887,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,1.9696,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.97 m | valid=4798/21440 | roi_mode=full,SAFE (z=1.97m),0,0,1,0,"[{""cx"":1107.41,""cy"":481.3,""w"":344.64,""h"":957.39,""x1"":156,""y1"":0,""x2"":214,""y2"":160,""conf"":0.9223,""depth_m"":null,""depth_valid"":false}]",0.9223,1107.41,481.30,344.64,957.39,,18.74,9.99
2026-04-22T15:26:39.668,1776860799.668911,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,2.0421,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.04 m | valid=1781/9280 | roi_mode=full,SAFE (z=2.02m),0,1,1,0,"[{""cx"":1107.41,""cy"":481.3,""w"":344.64,""h"":957.39,""x1"":156,""y1"":0,""x2"":214,""y2"":160,""conf"":0.9223,""depth_m"":null,""depth_valid"":false}]",0.9223,1107.41,481.30,344.64,957.39,,18.90,10.00
2026-04-22T15:26:39.768,1776860799.768819,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,2.0406,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.04 m | valid=1777/9280 | roi_mode=full,SAFE (z=2.05m),0,1,1,0,"[{""cx"":1208.83,""cy"":479.57,""w"":142.3,""h"":952.54,""x1"":190,""y1"":1,""x2"":214,""y2"":159,""conf"":0.759,""depth_m"":null,""depth_valid"":false}]",0.7590,1208.83,479.57,142.30,952.54,,19.01,10.01
2026-04-22T15:26:39.869,1776860799.869670,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,2.0041,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=515/3792 | roi_mode=full,SAFE (z=2.01m),0,1,1,0,"[{""cx"":1208.83,""cy"":479.57,""w"":142.3,""h"":952.54,""x1"":190,""y1"":1,""x2"":214,""y2"":159,""conf"":0.759,""depth_m"":null,""depth_valid"":false}]",0.7590,1208.83,479.57,142.30,952.54,,19.09,10.00
2026-04-22T15:26:39.968,1776860799.968871,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,1.9883,0,1,0,detected=False | in_zone=False | depth_valid=True | z=1.99 m | valid=0/0 | roi_mode=full,SAFE (z=2.01m),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,20.16,10.08
2026-04-22T15:26:40.069,1776860800.068979,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,1.9883,0,1,0,detected=False | in_zone=False | depth_valid=True | z=1.99 m | valid=0/0 | roi_mode=full,SAFE (z=1.99m),0,1,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,15.05,10.03
2026-04-22T15:26:40.168,1776860800.168880,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=1.99m),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,20.05,10.03
2026-04-22T15:26:40.268,1776860800.268915,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,1,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,20.04,10.02
2026-04-22T15:26:40.380,1776860800.380141,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,19.59,9.79
2026-04-22T15:26:40.468,1776860800.468876,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,20.03,10.01
2026-04-22T15:26:40.575,1776860800.575639,exp4_left_to_right_cross_center,400_lux,left_to_right_cross_center_line,1.600,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,19.83,9.92
