wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m
2026-04-22T14:48:10.497,1776858490.497566,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0392,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.04 m | valid=6599/14062 | roi_mode=full,SAFE (z=2.04m),0,1,2,0,"[{""cx"":267.47,""cy"":473.57,""w"":534.94,""h"":946.29,""x1"":0,""y1"":0,""x2"":89,""y2"":158,""conf"":0.871,""depth_m"":null,""depth_valid"":false},{""cx"":521.92,""cy"":447.47,""w"":204.32,""h"":873.06,""x1"":70,""y1"":2,""x2"":104,""y2"":147,""conf"":0.8679,""depth_m"":null,""depth_valid"":false}]",0.8710,267.47,473.57,534.94,946.29,
2026-04-22T14:48:10.597,1776858490.597654,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0391,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.04 m | valid=5734/13272 | roi_mode=full,SAFE (z=2.04m),0,0,2,0,"[{""cx"":520.7,""cy"":445.73,""w"":205.78,""h"":886.91,""x1"":70,""y1"":0,""x2"":104,""y2"":148,""conf"":0.8975,""depth_m"":null,""depth_valid"":false},{""cx"":251.5,""cy"":473.85,""w"":503.01,""h"":945.91,""x1"":0,""y1"":0,""x2"":84,""y2"":158,""conf"":0.8834,""depth_m"":null,""depth_valid"":false}]",0.8834,251.50,473.85,503.01,945.91,
2026-04-22T14:48:10.697,1776858490.697680,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0463,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.05 m | valid=5321/13272 | roi_mode=full,SAFE (z=2.04m),0,0,2,1,"[{""cx"":223.26,""cy"":475.6,""w"":443.43,""h"":947.75,""x1"":0,""y1"":0,""x2"":74,""y2"":158,""conf"":0.9359,""depth_m"":1.9093,""depth_valid"":true},{""cx"":513.81,""cy"":442.73,""w"":217.88,""h"":881.88,""x1"":68,""y1"":0,""x2"":104,""y2"":147,""conf"":0.9105,""depth_m"":null,""depth_valid"":false}]",0.9359,223.26,475.60,443.43,947.75,1.9093
2026-04-22T14:48:10.800,1776858490.800142,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0477,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.05 m | valid=3737/11692 | roi_mode=full,SAFE (z=2.05m),0,1,2,1,"[{""cx"":223.26,""cy"":475.6,""w"":443.43,""h"":947.75,""x1"":0,""y1"":0,""x2"":74,""y2"":158,""conf"":0.9359,""depth_m"":1.9093,""depth_valid"":true},{""cx"":513.81,""cy"":442.73,""w"":217.88,""h"":881.88,""x1"":68,""y1"":0,""x2"":104,""y2"":147,""conf"":0.9105,""depth_m"":null,""depth_valid"":false}]",0.9359,223.26,475.60,443.43,947.75,1.9093
2026-04-22T14:48:10.897,1776858490.897839,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0568,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=3048/11200 | roi_mode=full,SAFE (z=2.06m),0,1,2,1,"[{""cx"":208.69,""cy"":479.41,""w"":416.16,""h"":955.36,""x1"":0,""y1"":0,""x2"":70,""y2"":160,""conf"":0.9348,""depth_m"":1.9041,""depth_valid"":true},{""cx"":507.11,""cy"":441.97,""w"":231.45,""h"":880.32,""x1"":65,""y1"":0,""x2"":104,""y2"":147,""conf"":0.9181,""depth_m"":null,""depth_valid"":false}]",0.9348,208.69,479.41,416.16,955.36,1.9041
2026-04-22T14:48:10.997,1776858490.997705,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0571,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=3024/11200 | roi_mode=full,SAFE (z=2.06m),0,0,2,1,"[{""cx"":208.69,""cy"":479.41,""w"":416.16,""h"":955.36,""x1"":0,""y1"":0,""x2"":70,""y2"":160,""conf"":0.9348,""depth_m"":1.9041,""depth_valid"":true},{""cx"":507.11,""cy"":441.97,""w"":231.45,""h"":880.32,""x1"":65,""y1"":0,""x2"":104,""y2"":147,""conf"":0.9181,""depth_m"":null,""depth_valid"":false}]",0.9348,208.69,479.41,416.16,955.36,1.9041
2026-04-22T14:48:11.097,1776858491.097735,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0572,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=2884/11200 | roi_mode=full,SAFE (z=2.06m),0,0,2,1,"[{""cx"":497.16,""cy"":441.23,""w"":252.4,""h"":877.51,""x1"":62,""y1"":0,""x2"":104,""y2"":147,""conf"":0.9279,""depth_m"":null,""depth_valid"":false},{""cx"":198.22,""cy"":476.53,""w"":389.22,""h"":945.91,""x1"":1,""y1"":1,""x2"":66,""y2"":158,""conf"":0.9239,""depth_m"":2.5123,""depth_valid"":true}]",0.9239,198.22,476.53,389.22,945.91,2.5123
2026-04-22T14:48:11.198,1776858491.198138,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0490,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.05 m | valid=2562/10205 | roi_mode=full,SAFE (z=2.06m),0,0,2,2,"[{""cx"":468.39,""cy"":439.06,""w"":309.72,""h"":876.41,""x1"":52,""y1"":0,""x2"":104,""y2"":146,""conf"":0.948,""depth_m"":1.8937,""depth_valid"":true},{""cx"":136.75,""cy"":482.1,""w"":270.86,""h"":955.81,""x1"":0,""y1"":1,""x2"":46,""y2"":160,""conf"":0.8794,""depth_m"":2.6367,""depth_valid"":true}]",0.9480,468.39,439.06,309.72,876.41,1.8937
2026-04-22T14:48:11.297,1776858491.297755,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9122,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.91 m | valid=1092/7314 | roi_mode=full,SAFE (z=1.91m),0,1,2,2,"[{""cx"":468.39,""cy"":439.06,""w"":309.72,""h"":876.41,""x1"":52,""y1"":0,""x2"":104,""y2"":146,""conf"":0.948,""depth_m"":1.8937,""depth_valid"":true},{""cx"":136.75,""cy"":482.1,""w"":270.86,""h"":955.81,""x1"":0,""y1"":1,""x2"":46,""y2"":160,""conf"":0.8794,""depth_m"":2.6367,""depth_valid"":true}]",0.9480,468.39,439.06,309.72,876.41,1.8937
2026-04-22T14:48:11.397,1776858491.397786,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9055,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.91 m | valid=825/6636 | roi_mode=full,SAFE (z=1.91m),0,0,2,2,"[{""cx"":468.47,""cy"":439.23,""w"":311.2,""h"":876.83,""x1"":52,""y1"":0,""x2"":104,""y2"":146,""conf"":0.9481,""depth_m"":1.8911,""depth_valid"":true},{""cx"":125.94,""cy"":479.74,""w"":249.94,""h"":953.43,""x1"":0,""y1"":1,""x2"":42,""y2"":159,""conf"":0.8793,""depth_m"":2.8308,""depth_valid"":true}]",0.9481,468.47,439.23,311.20,876.83,1.8911
2026-04-22T14:48:11.497,1776858491.497722,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9055,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.91 m | valid=825/6636 | roi_mode=full,SAFE (z=1.91m),0,0,2,2,"[{""cx"":468.47,""cy"":439.23,""w"":311.2,""h"":876.83,""x1"":52,""y1"":0,""x2"":104,""y2"":146,""conf"":0.9481,""depth_m"":1.8911,""depth_valid"":true},{""cx"":125.94,""cy"":479.74,""w"":249.94,""h"":953.43,""x1"":0,""y1"":1,""x2"":42,""y2"":159,""conf"":0.8793,""depth_m"":2.8308,""depth_valid"":true}]",0.9481,468.47,439.23,311.20,876.83,1.8911
2026-04-22T14:48:11.597,1776858491.597686,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9112,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.91 m | valid=498/4134 | roi_mode=full,SAFE (z=1.91m),0,0,2,2,"[{""cx"":469.96,""cy"":440.06,""w"":315.88,""h"":877.96,""x1"":52,""y1"":0,""x2"":105,""y2"":147,""conf"":0.9456,""depth_m"":1.8911,""depth_valid"":true},{""cx"":76.74,""cy"":477.13,""w"":152.24,""h"":949.94,""x1"":0,""y1"":0,""x2"":26,""y2"":159,""conf"":0.8082,""depth_m"":2.902,""depth_valid"":true}]",0.9456,469.96,440.06,315.88,877.96,1.8911
2026-04-22T14:48:11.697,1776858491.697679,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9251,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.93 m | valid=491/4828 | roi_mode=full,SAFE (z=1.93m),0,1,2,2,"[{""cx"":474.57,""cy"":440.16,""w"":316.53,""h"":876.57,""x1"":53,""y1"":0,""x2"":106,""y2"":146,""conf"":0.9431,""depth_m"":1.8911,""depth_valid"":true},{""cx"":101.06,""cy"":430.02,""w"":201.06,""h"":853.22,""x1"":0,""y1"":1,""x2"":34,""y2"":143,""conf"":0.9078,""depth_m"":2.9642,""depth_valid"":true}]",0.9431,474.57,440.16,316.53,876.57,1.8911
2026-04-22T14:48:11.807,1776858491.807147,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9251,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.93 m | valid=491/4828 | roi_mode=full,SAFE (z=1.93m),0,0,2,2,"[{""cx"":474.57,""cy"":440.16,""w"":316.53,""h"":876.57,""x1"":53,""y1"":0,""x2"":106,""y2"":146,""conf"":0.9431,""depth_m"":1.8911,""depth_valid"":true},{""cx"":101.06,""cy"":430.02,""w"":201.06,""h"":853.22,""x1"":0,""y1"":1,""x2"":34,""y2"":143,""conf"":0.9078,""depth_m"":2.9642,""depth_valid"":true}]",0.9431,474.57,440.16,316.53,876.57,1.8911
2026-04-22T14:48:11.897,1776858491.897752,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9344,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.93 m | valid=495/4828 | roi_mode=full,SAFE (z=1.93m),0,0,2,1,"[{""cx"":471.89,""cy"":438.8,""w"":304.35,""h"":873.84,""x1"":53,""y1"":0,""x2"":104,""y2"":146,""conf"":0.9391,""depth_m"":1.8989,""depth_valid"":true},{""cx"":114.96,""cy"":479.83,""w"":228.7,""h"":953.49,""x1"":0,""y1"":1,""x2"":38,""y2"":159,""conf"":0.9209,""depth_m"":null,""depth_valid"":false}]",0.9391,471.89,438.80,304.35,873.84,1.8989
2026-04-22T14:48:11.997,1776858491.997813,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9220,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.92 m | valid=983/6004 | roi_mode=full,SAFE (z=1.92m),0,1,2,1,"[{""cx"":471.89,""cy"":438.8,""w"":304.35,""h"":873.84,""x1"":53,""y1"":0,""x2"":104,""y2"":146,""conf"":0.9391,""depth_m"":1.8989,""depth_valid"":true},{""cx"":114.96,""cy"":479.83,""w"":228.7,""h"":953.49,""x1"":0,""y1"":1,""x2"":38,""y2"":159,""conf"":0.9209,""depth_m"":null,""depth_valid"":false}]",0.9391,471.89,438.80,304.35,873.84,1.8989
2026-04-22T14:48:12.102,1776858492.102040,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9273,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.93 m | valid=976/6004 | roi_mode=full,SAFE (z=1.92m),0,0,2,1,"[{""cx"":473.92,""cy"":438.73,""w"":299.29,""h"":874.11,""x1"":54,""y1"":0,""x2"":104,""y2"":146,""conf"":0.9441,""depth_m"":1.9015,""depth_valid"":true},{""cx"":106.43,""cy"":478.76,""w"":211.56,""h"":949.97,""x1"":0,""y1"":1,""x2"":35,""y2"":159,""conf"":0.9028,""depth_m"":null,""depth_valid"":false}]",0.9441,473.92,438.73,299.29,874.11,1.9015
2026-04-22T14:48:12.197,1776858492.197793,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9273,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.93 m | valid=976/6004 | roi_mode=full,SAFE (z=1.92m),0,0,2,1,"[{""cx"":473.92,""cy"":438.73,""w"":299.29,""h"":874.11,""x1"":54,""y1"":0,""x2"":104,""y2"":146,""conf"":0.9441,""depth_m"":1.9015,""depth_valid"":true},{""cx"":106.43,""cy"":478.76,""w"":211.56,""h"":949.97,""x1"":0,""y1"":1,""x2"":35,""y2"":159,""conf"":0.9028,""depth_m"":null,""depth_valid"":false}]",0.9441,473.92,438.73,299.29,874.11,1.9015
