wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m
2026-04-22T14:43:23.622,1776858203.622956,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9207,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.92 m | valid=5411/6342 | roi_mode=full,SAFE (z=1.92m),0,1,2,0,"[{""cx"":728.19,""cy"":456.25,""w"":274.97,""h"":908.21,""x1"":99,""y1"":0,""x2"":145,""y2"":152,""conf"":0.7986,""depth_m"":null,""depth_valid"":false},{""cx"":1169.39,""cy"":346.48,""w"":95.04,""h"":112.84,""x1"":188,""y1"":48,""x2"":203,""y2"":67,""conf"":0.4957,""depth_m"":null,""depth_valid"":false}]",0.7986,728.19,456.25,274.97,908.21,
2026-04-22T14:43:23.721,1776858203.721791,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9057,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.91 m | valid=5645/6992 | roi_mode=full,SAFE (z=1.92m),0,0,2,0,"[{""cx"":728.19,""cy"":456.25,""w"":274.97,""h"":908.21,""x1"":99,""y1"":0,""x2"":145,""y2"":152,""conf"":0.7986,""depth_m"":null,""depth_valid"":false},{""cx"":1169.39,""cy"":346.48,""w"":95.04,""h"":112.84,""x1"":188,""y1"":48,""x2"":203,""y2"":67,""conf"":0.4957,""depth_m"":null,""depth_valid"":false}]",0.7986,728.19,456.25,274.97,908.21,
2026-04-22T14:43:23.821,1776858203.821662,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.8979,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.90 m | valid=5609/6992 | roi_mode=full,SAFE (z=1.90m),0,1,1,0,"[{""cx"":749.25,""cy"":457.19,""w"":266.31,""h"":907.98,""x1"":103,""y1"":1,""x2"":148,""y2"":152,""conf"":0.8853,""depth_m"":null,""depth_valid"":false}]",0.8853,749.25,457.19,266.31,907.98,
2026-04-22T14:43:23.921,1776858203.921764,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.8688,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.87 m | valid=5619/6795 | roi_mode=full,SAFE (z=1.87m),0,1,1,0,"[{""cx"":751.1,""cy"":456.83,""w"":268.47,""h"":906.36,""x1"":103,""y1"":1,""x2"":148,""y2"":152,""conf"":0.9108,""depth_m"":null,""depth_valid"":false}]",0.9108,751.10,456.83,268.47,906.36,
2026-04-22T14:43:24.021,1776858204.021663,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.8523,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.85 m | valid=5458/6795 | roi_mode=full,SAFE (z=1.85m),0,1,1,0,"[{""cx"":751.1,""cy"":456.83,""w"":268.47,""h"":906.36,""x1"":103,""y1"":1,""x2"":148,""y2"":152,""conf"":0.9108,""depth_m"":null,""depth_valid"":false}]",0.9108,751.10,456.83,268.47,906.36,
2026-04-22T14:43:24.121,1776858204.121628,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.8304,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.83 m | valid=5408/7248 | roi_mode=full,SAFE (z=1.85m),0,0,2,0,"[{""cx"":759.77,""cy"":457.98,""w"":281.77,""h"":908.61,""x1"":103,""y1"":1,""x2"":151,""y2"":152,""conf"":0.8954,""depth_m"":null,""depth_valid"":false},{""cx"":1096.76,""cy"":345.35,""w"":79.88,""h"":118.51,""x1"":177,""y1"":48,""x2"":190,""y2"":67,""conf"":0.4862,""depth_m"":null,""depth_valid"":false}]",0.8954,759.77,457.98,281.77,908.61,
2026-04-22T14:43:24.221,1776858204.221789,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.7914,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.79 m | valid=5264/7248 | roi_mode=full,SAFE (z=1.83m),0,1,2,0,"[{""cx"":759.77,""cy"":457.98,""w"":281.77,""h"":908.61,""x1"":103,""y1"":1,""x2"":151,""y2"":152,""conf"":0.8954,""depth_m"":null,""depth_valid"":false},{""cx"":1096.76,""cy"":345.35,""w"":79.88,""h"":118.51,""x1"":177,""y1"":48,""x2"":190,""y2"":67,""conf"":0.4862,""depth_m"":null,""depth_valid"":false}]",0.8954,759.77,457.98,281.77,908.61,
2026-04-22T14:43:24.321,1776858204.321834,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.7495,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.75 m | valid=4783/7248 | roi_mode=full,SAFE (z=1.78m),0,1,2,0,"[{""cx"":761.99,""cy"":458.87,""w"":286.56,""h"":911.62,""x1"":103,""y1"":1,""x2"":151,""y2"":152,""conf"":0.8846,""depth_m"":null,""depth_valid"":false},{""cx"":1084.49,""cy"":350.43,""w"":77.94,""h"":127.94,""x1"":175,""y1"":48,""x2"":188,""y2"":69,""conf"":0.5231,""depth_m"":null,""depth_valid"":false}]",0.8846,761.99,458.87,286.56,911.62,
2026-04-22T14:43:24.422,1776858204.422539,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.7470,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.75 m | valid=4924/7248 | roi_mode=full,SAFE (z=1.78m),0,0,2,0,"[{""cx"":761.99,""cy"":458.87,""w"":286.56,""h"":911.62,""x1"":103,""y1"":1,""x2"":151,""y2"":152,""conf"":0.8846,""depth_m"":null,""depth_valid"":false},{""cx"":1084.49,""cy"":350.43,""w"":77.94,""h"":127.94,""x1"":175,""y1"":48,""x2"":188,""y2"":69,""conf"":0.5231,""depth_m"":null,""depth_valid"":false}]",0.8846,761.99,458.87,286.56,911.62,
2026-04-22T14:43:24.521,1776858204.521812,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.7342,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.73 m | valid=5102/7399 | roi_mode=full,SAFE (z=1.74m),0,1,2,0,"[{""cx"":763.37,""cy"":458.75,""w"":291.46,""h"":910.71,""x1"":103,""y1"":1,""x2"":152,""y2"":152,""conf"":0.8996,""depth_m"":null,""depth_valid"":false},{""cx"":1074.06,""cy"":355.9,""w"":75.18,""h"":139.4,""x1"":173,""y1"":48,""x2"":186,""y2"":71,""conf"":0.6365,""depth_m"":null,""depth_valid"":false}]",0.8996,763.37,458.75,291.46,910.71,
2026-04-22T14:43:24.631,1776858204.631948,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.7037,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.70 m | valid=4803/7399 | roi_mode=full,SAFE (z=1.72m),0,1,2,0,"[{""cx"":763.37,""cy"":458.75,""w"":291.46,""h"":910.71,""x1"":103,""y1"":1,""x2"":152,""y2"":152,""conf"":0.8996,""depth_m"":null,""depth_valid"":false},{""cx"":1074.06,""cy"":355.9,""w"":75.18,""h"":139.4,""x1"":173,""y1"":48,""x2"":186,""y2"":71,""conf"":0.6365,""depth_m"":null,""depth_valid"":false}]",0.8996,763.37,458.75,291.46,910.71,
